Id,Facility_id,Class_name,Dow,Start_hour,Start_minute,Start_am_pm,End_hour,End_minute,End_am_pm
1,1,test1,1,1,0,PM,2,0,PM
2,1,test2,1,3,0,AM,4,0,AM
3,1,test5,1,5,0,PM,6,0,PM
4,1,test4,2,4,0,PM,5,0,PM
6,3,test wod,1,2,0,PM,3,0,PM
7,4,spin shelia,1,1,0,AM,2,0,AM
8,4,spin - jeff,2,2,0,PM,3,0,PM
9,8,WOD,1,5,0,AM,8,0,AM
10,8,Open Gym,1,8,0,AM,9,0,AM
11,8,WOD,1,9,0,AM,11,0,AM
12,8,Open Gym,1,11,0,AM,4,0,PM
13,8,WOD,1,4,0,PM,7,0,PM
14,8,WOD,2,5,0,AM,7,0,AM
15,8,Open Gym,2,8,0,AM,9,0,AM
16,8,WOD,2,9,0,AM,11,0,AM
17,8,Open Gym,2,11,0,AM,4,0,PM
18,8,WOD,2,4,0,PM,8,0,PM
19,8,WOD,3,5,0,AM,8,0,AM
20,8, Open Gym,3,8,0,AM,9,0,AM
21,8,WOD,3,9,0,AM,11,0,AM
22,8,Open Gym,3,11,0,AM,4,0,PM
23,8,WOD,3,4,0,PM,8,0,PM
25,8,Open Gym,4,8,0,AM,9,0,AM
26,8,WOD,4,5,0,AM,7,0,AM
27,8,WOD,4,9,0,AM,11,0,AM
28,8,Open Gym,4,11,0,AM,4,0,PM
29,8,WOD,4,4,0,PM,8,0,PM
30,8,WOD,5,5,0,AM,8,0,AM
31,8,Open Gym,5,8,0,AM,9,0,AM
32,8,WOD,5,9,0,AM,11,0,AM
33,8,Open Gym,5,11,0,AM,4,0,PM
34,8,WOD,5,4,0,PM,8,0,PM
36,8,WOD,6,9,0,AM,10,0,AM
37,8,Open Gym,6,7,0,AM,8,0,AM
38,8,YOG,6,10,0,AM,11,0,AM
39,9,Crossfit,1,5,30,AM,6,30,AM
40,9,Crossfit,1,8,30,AM,9,0,AM
41,9,Crossfit,1,12,30,PM,8,0,PM
42,9,Crossfit,2,5,30,AM,6,30,AM
43,9,on-ramp,2,6,30,AM,7,0,AM
44,9,Crossfit,2,12,30,PM,7,0,PM
45,9,on-ramp,2,7,0,PM,8,0,PM
46,9,Crossfit,3,5,30,AM,7,0,AM
47,9,Crossfit,3,8,30,AM,9,0,AM
48,9,Crossfit,3,12,30,PM,8,0,PM
49,9,Crossfit,4,5,30,AM,6,30,AM
50,9,on-ramp,4,6,30,AM,7,0,AM
51,9,Crossfit,4,12,30,PM,7,0,PM
52,9,on-ramp,4,7,0,PM,8,0,PM
53,9,Crossfit,5,5,30,AM,7,0,AM
54,9,Crossfit,5,12,30,PM,7,0,PM
55,9,Crossfit/on-ramp,6,7,0,AM,8,0,AM
56,9,Crossfit,6,8,0,AM,8,30,AM
57,9,Crossfit,6,9,0,AM,11,0,AM
58,15,Cf unlimited,1,5,0,AM,11,15,AM
59,15,Cf endurance,1,12,15,PM,1,15,PM
60,16,basic barbell and strong man ,1,4,0,PM,5,0,PM
61,16,basic barbell and strong man ,3,4,0,PM,5,0,PM
62,16,basic barbell and strong man ,5,4,0,PM,5,0,PM
63,16,womens only strength class,6,9,0,AM,10,0,AM
64,16,OnRamp,1,7,0,PM,8,0,PM
65,16,OnRamp,3,7,0,PM,8,0,PM
66,16,OnRamp,5,7,0,PM,8,0,PM
67,16,Open Gym,1,2,0,PM,3,0,PM
68,16,Open Gym,2,2,0,PM,8,0,PM
69,16,Open Gym,3,2,0,PM,8,0,PM
70,16,Open Gym,4,2,0,PM,8,0,PM
71,16,Open Gym,5,2,0,PM,8,0,PM
72,16,Open Gym,6,2,0,PM,8,0,PM
73,16,Open Gym,0,2,0,PM,8,0,PM
74,18,WOD,1,6,0,AM,10,0,AM
75,18,Open Gym,1,10,0,AM,11,0,AM
76,18,WOD,1,4,0,PM,8,0,PM
77,18,WOD,2,6,0,AM,10,0,AM
78,18,Open Gym,2,10,0,AM,11,0,AM
79,18,WOD,2,4,0,PM,8,0,PM
80,18,WOD,3,6,0,AM,10,0,AM
81,18,Open Gym,3,10,0,AM,11,0,AM
82,18,WOD,3,4,0,PM,8,0,PM
83,18,WOD,4,6,0,AM,10,0,AM
84,18,Open Gym,4,10,0,AM,11,0,AM
86,18,WOD,4,4,0,PM,8,0,PM
87,18,WOD,5,6,0,AM,10,0,AM
88,18,Open Gym,5,10,0,AM,11,0,AM
89,18,WOD,5,4,0,PM,7,0,PM
90,18,WOD,6,9,0,AM,10,0,AM
91,18,Open Gym,6,10,0,AM,11,0,AM
92,15,"Unlimited, endurance, preschool, kids",1,5,0,PM,6,0,PM
93,15,"Unlimited, teens",1,6,0,PM,7,0,PM
94,15,Unlimited,2,5,0,AM,6,0,PM
95,15,Basic,2,6,0,PM,7,0,PM
96,15,Unlimited,3,5,0,AM,11,15,AM
98,15,Endurance,3,12,15,PM,1,15,PM
99,15,"Unlimited, endurance, kids",3,5,0,PM,6,0,PM
100,15,"Unlimited, teens",3,6,0,PM,7,0,PM
101,15,Unlimited,4,5,0,AM,6,0,PM
102,15,Basic,4,6,0,PM,7,0,PM
103,15,Unlimited,5,5,0,AM,6,0,PM
104,15,"Basic, teen",5,6,0,PM,7,0,PM
105,20,Crossfit,1,6,0,AM,7,0,AM
107,21,Summer Yoga,4,7,30,AM,10,0,AM
108,22,Daily,0,9,0,AM,10,0,AM
110,33,“Last Man Standing”,3,8,0,AM,8,15,AM
111,36,CrossFit Class,1,6,0,AM,7,0,AM
112,36,CrossFit Class,2,5,0,PM,6,0,PM
113,36,CrossFit Class,3,6,0,AM,7,0,AM
115,36,CrossFit Class,4,6,0,AM,7,0,AM
116,36,CrossFit Class,5,6,0,AM,7,0,AM
117,36,CrossFit Class,6,8,0,AM,9,0,AM
124,40,CrossFit Class,1,6,0,AM,7,0,AM
125,40,CrossFit Class,2,6,0,AM,7,0,AM
126,40,CrossFit Class,3,4,30,PM,5,30,PM
127,40,CrossFit Class,4,4,30,PM,5,30,PM
128,40,CrossFit Class,5,4,30,PM,5,30,PM
129,40,CrossFit Class,6,8,30,AM,9,30,AM
130,41,CrossFit,1,9,0,AM,10,0,AM
131,41,CrossFit,2,6,0,AM,7,0,AM
132,41,CrossFit,3,7,30,AM,8,30,AM
133,41,CrossFit,4,7,30,AM,8,30,AM
134,41,CrossFit,5,9,0,AM,10,0,AM
135,41,CrossFit,6,10,30,AM,11,30,AM
136,42,Class Schedule ,1,6,0,AM,7,0,AM
137,42,Class Schedule,2,6,0,AM,7,0,AM
138,42,Class Schedule,3,6,0,AM,7,0,AM
